user_id,gender,age_group,interest_categories,persona
107,男,40岁以上,动漫|宠物|学习|生活,动漫二次元型
108,男,18岁以下,美食|运动|生活|科技,生活家型
109,女,18岁以下,生活|运动|科技|美食,生活家型
110,男,18岁以下,学习|科技|搞笑,进步青年型
111,女,31-40岁,游戏|搞笑|动漫|音乐,宅文化型
112,女,31-40岁,美食|生活|运动,生活家型
113,男,18-24岁,美食|生活,生活家型
114,女,18-24岁,生活|美食|运动,生活家型
115,女,31-40岁,美食|生活,生活家型
116,女,31-40岁,美食|生活|运动|科技,生活家型
117,男,18岁以下,宠物|动漫,动漫二次元型
118,女,40岁以上,生活|美食,生活家型
119,女,18-24岁,动漫|宠物|学习,动漫二次元型
120,女,31-40岁,动漫|宠物,动漫二次元型
121,女,40岁以上,音乐|运动|美食|游戏,运动乐活型
122,男,40岁以上,动漫|学习|生活,动漫二次元型
123,女,25-30岁,学习|搞笑|宠物|科技,进步青年型
124,女,40岁以上,搞笑|游戏|音乐,宅文化型
125,男,40岁以上,宠物|动漫|学习|生活,动漫二次元型
126,女,31-40岁,宠物|动漫|生活,动漫二次元型
127,女,25-30岁,游戏|音乐|动漫,宅文化型
128,男,31-40岁,学习|搞笑|科技|宠物,进步青年型
129,女,25-30岁,美食|生活|运动,生活家型
130,男,18-24岁,生活|美食|运动,生活家型
131,男,25-30岁,生活|运动|科技|美食,生活家型
132,男,40岁以上,科技|宠物|学习,进步青年型
133,男,31-40岁,搞笑|游戏,宅文化型
134,男,18-24岁,学习|科技|宠物,进步青年型
135,女,25-30岁,宠物|动漫|生活,动漫二次元型
136,男,18岁以下,搞笑|动漫|游戏|音乐,宅文化型
137,男,18-24岁,科技|宠物|搞笑|学习,进步青年型
138,男,31-40岁,动漫|宠物|学习,动漫二次元型
139,男,18岁以下,游戏|搞笑,宅文化型
140,男,40岁以上,搞笑|音乐|游戏,宅文化型
141,女,40岁以上,美食|生活|科技,生活家型
142,男,18岁以下,游戏|搞笑|动漫,宅文化型
143,女,18岁以下,科技|学习|搞笑,进步青年型
144,女,31-40岁,运动|游戏|美食|音乐,运动乐活型
145,女,31-40岁,生活|运动,生活家型
146,女,25-30岁,科技|学习|搞笑,进步青年型
147,女,40岁以上,音乐|运动,运动乐活型
148,女,31-40岁,生活|科技,生活家型
149,男,31-40岁,生活|美食|科技|运动,生活家型
150,男,18-24岁,美食|生活|科技|运动,生活家型
151,女,40岁以上,美食|生活|科技|运动,生活家型
152,女,40岁以上,搞笑|音乐|游戏,宅文化型
153,女,18岁以下,游戏|搞笑,宅文化型
154,女,40岁以上,运动|音乐|游戏,运动乐活型
155,女,31-40岁,运动|音乐|美食,运动乐活型
156,女,18-24岁,学习|科技|宠物,进步青年型
157,女,18-24岁,搞笑|游戏|动漫|音乐,宅文化型
158,男,31-40岁,美食|运动,生活家型
159,女,40岁以上,音乐|游戏|美食,运动乐活型
160,女,18岁以下,搞笑|音乐|游戏,宅文化型
161,女,18岁以下,科技|学习|搞笑,进步青年型
162,女,40岁以上,动漫|宠物|学习|生活,动漫二次元型
163,女,40岁以上,音乐|运动|游戏|美食,运动乐活型
164,女,18-24岁,游戏|搞笑|动漫,宅文化型
165,女,18-24岁,游戏|动漫,宅文化型
166,女,18-24岁,宠物|学习,动漫二次元型
167,女,25-30岁,游戏|搞笑|动漫,宅文化型
168,男,31-40岁,搞笑|音乐|游戏,宅文化型
169,男,40岁以上,搞笑|音乐,宅文化型
170,女,31-40岁,运动|游戏|音乐,运动乐活型
171,男,18-24岁,运动|音乐|美食|游戏,运动乐活型
172,男,40岁以上,音乐|游戏,运动乐活型
173,男,18岁以下,搞笑|游戏,宅文化型
174,男,18岁以下,动漫|宠物,动漫二次元型
175,男,18岁以下,科技|学习,进步青年型
176,女,25-30岁,宠物|动漫|生活,动漫二次元型
177,男,40岁以上,美食|运动,生活家型
178,男,18岁以下,搞笑|音乐|游戏,宅文化型
179,女,18-24岁,搞笑|游戏,宅文化型
180,男,18-24岁,学习|科技|宠物,进步青年型
181,男,40岁以上,运动|美食|游戏|音乐,运动乐活型
182,女,18-24岁,运动|游戏|美食|音乐,运动乐活型
183,女,18岁以下,运动|音乐,运动乐活型
184,女,40岁以上,游戏|搞笑|音乐|动漫,宅文化型
185,男,18岁以下,科技|学习,进步青年型
186,男,18-24岁,音乐|美食|运动,运动乐活型
187,女,18-24岁,动漫|宠物|生活,动漫二次元型
188,女,18岁以下,科技|学习,进步青年型
189,女,18-24岁,生活|美食|科技|运动,生活家型
190,男,18岁以下,音乐|美食|游戏|运动,运动乐活型
191,女,31-40岁,学习|科技|宠物,进步青年型
192,女,25-30岁,学习|科技|宠物|搞笑,进步青年型
193,女,31-40岁,运动|音乐|美食,运动乐活型
194,女,31-40岁,音乐|美食|游戏|运动,运动乐活型
195,女,31-40岁,学习|搞笑|科技,进步青年型
196,男,25-30岁,美食|生活,生活家型
197,男,18-24岁,美食|生活|运动|科技,生活家型
198,男,18岁以下,动漫|学习|宠物,动漫二次元型
199,女,40岁以上,运动|音乐,运动乐活型
200,男,18-24岁,科技|学习,进步青年型
201,女,40岁以上,美食|科技|运动|生活,生活家型
202,男,40岁以上,运动|游戏,运动乐活型
203,女,18-24岁,音乐|运动|游戏,运动乐活型
204,女,18岁以下,科技|宠物,进步青年型
205,男,31-40岁,游戏|搞笑|动漫,宅文化型
206,男,31-40岁,动漫|学习|宠物|生活,动漫二次元型
207,男,18岁以下,动漫|宠物|学习,动漫二次元型
208,女,40岁以上,搞笑|游戏|动漫,宅文化型
209,男,31-40岁,生活|美食,生活家型
210,男,18岁以下,音乐|运动,运动乐活型
211,女,18岁以下,生活|科技,生活家型
212,男,18岁以下,游戏|搞笑,宅文化型
213,女,18岁以下,搞笑|游戏|动漫|音乐,宅文化型
214,男,40岁以上,运动|音乐|美食|游戏,运动乐活型
215,男,31-40岁,宠物|动漫|学习|生活,动漫二次元型
216,男,18-24岁,搞笑|音乐,宅文化型
217,男,25-30岁,搞笑|游戏,宅文化型
218,女,18-24岁,音乐|运动|游戏|美食,运动乐活型
219,女,18-24岁,运动|音乐,运动乐活型
220,男,18-24岁,音乐|运动|美食,运动乐活型
221,男,31-40岁,美食|科技|生活|运动,生活家型
222,女,25-30岁,搞笑|音乐|游戏,宅文化型
223,女,31-40岁,动漫|宠物|生活,动漫二次元型
224,男,18-24岁,宠物|学习,动漫二次元型
225,女,40岁以上,游戏|搞笑|动漫,宅文化型
226,男,40岁以上,美食|运动|科技|生活,生活家型
227,女,40岁以上,动漫|宠物|学习|生活,动漫二次元型
228,男,31-40岁,搞笑|游戏|音乐,宅文化型
229,女,25-30岁,生活|美食,生活家型
230,女,31-40岁,音乐|运动,运动乐活型
231,男,18岁以下,科技|学习,进步青年型
232,男,40岁以上,运动|音乐,运动乐活型
233,女,18-24岁,动漫|宠物,动漫二次元型
234,男,40岁以上,学习|科技,进步青年型
235,女,40岁以上,搞笑|游戏,宅文化型
236,男,18-24岁,搞笑|游戏,宅文化型
237,女,18岁以下,科技|学习,进步青年型
238,女,25-30岁,游戏|动漫|搞笑,宅文化型
239,女,31-40岁,宠物|动漫|学习,动漫二次元型
240,男,25-30岁,动漫|生活|宠物,动漫二次元型
241,男,25-30岁,美食|生活|运动|科技,生活家型
242,男,18-24岁,学习|科技|搞笑|宠物,进步青年型
243,女,40岁以上,生活|美食,生活家型
244,女,25-30岁,生活|美食|科技,生活家型
245,女,18岁以下,学习|搞笑|宠物,进步青年型
246,男,25-30岁,运动|音乐,运动乐活型
247,女,40岁以上,搞笑|动漫,宅文化型
248,男,18-24岁,音乐|运动|游戏|美食,运动乐活型
249,男,25-30岁,音乐|运动|美食,运动乐活型
250,男,31-40岁,动漫|宠物|学习|生活,动漫二次元型
251,男,18岁以下,生活|科技,生活家型
252,女,25-30岁,运动|音乐,运动乐活型
253,男,25-30岁,生活|美食|运动|科技,生活家型
254,男,18岁以下,学习|宠物|科技,进步青年型
255,女,18岁以下,动漫|宠物|生活|学习,动漫二次元型
256,女,40岁以上,生活|美食|运动|科技,生活家型
257,男,25-30岁,美食|生活,生活家型
258,男,31-40岁,游戏|搞笑|音乐,宅文化型
259,男,25-30岁,搞笑|游戏|动漫,宅文化型
260,男,18-24岁,音乐|运动|游戏,运动乐活型
261,男,18岁以下,游戏|搞笑,宅文化型
262,男,31-40岁,宠物|动漫|学习,动漫二次元型
263,男,18-24岁,音乐|运动|美食|游戏,运动乐活型
264,女,40岁以上,游戏|搞笑|动漫|音乐,宅文化型
265,女,40岁以上,科技|搞笑,进步青年型
266,女,40岁以上,游戏|搞笑,宅文化型
267,女,18岁以下,动漫|宠物|生活|学习,动漫二次元型
268,女,25-30岁,美食|生活|科技|运动,生活家型
269,男,40岁以上,生活|美食|运动,生活家型
270,女,18岁以下,动漫|宠物|学习,动漫二次元型
271,女,31-40岁,科技|学习|搞笑|宠物,进步青年型
272,女,31-40岁,动漫|生活,动漫二次元型
273,女,31-40岁,科技|搞笑,进步青年型
274,女,18岁以下,音乐|运动|美食,运动乐活型
275,女,25-30岁,动漫|宠物|生活|学习,动漫二次元型
276,女,18-24岁,学习|科技|搞笑|宠物,进步青年型
277,男,18岁以下,搞笑|动漫|游戏,宅文化型
278,女,25-30岁,动漫|宠物|学习,动漫二次元型
279,男,31-40岁,美食|生活|科技|运动,生活家型
280,男,31-40岁,动漫|学习|生活|宠物,动漫二次元型
281,男,25-30岁,搞笑|音乐|游戏,宅文化型
282,男,18-24岁,美食|生活|运动|科技,生活家型
283,男,18-24岁,动漫|宠物|学习|生活,动漫二次元型
284,女,31-40岁,学习|科技|宠物|搞笑,进步青年型
285,男,25-30岁,运动|音乐,运动乐活型
286,女,25-30岁,学习|宠物|搞笑|科技,进步青年型
287,男,18岁以下,科技|学习,进步青年型
288,男,25-30岁,动漫|生活|宠物|学习,动漫二次元型
289,女,40岁以上,运动|音乐,运动乐活型
290,男,31-40岁,宠物|动漫,动漫二次元型
291,男,18-24岁,游戏|动漫,宅文化型
292,男,31-40岁,动漫|宠物|生活|学习,动漫二次元型
293,女,18岁以下,游戏|搞笑|音乐,宅文化型
294,女,40岁以上,科技|宠物|搞笑,进步青年型
295,女,18岁以下,运动|游戏|美食|音乐,运动乐活型
296,女,40岁以上,生活|美食,生活家型
297,女,40岁以上,生活|科技|美食,生活家型
298,男,31-40岁,游戏|搞笑|音乐,宅文化型
299,男,18岁以下,生活|美食|运动|科技,生活家型
300,男,40岁以上,科技|学习|宠物|搞笑,进步青年型
301,男,18-24岁,科技|学习|搞笑,进步青年型
302,男,40岁以上,美食|生活|运动,生活家型
303,男,31-40岁,动漫|宠物|生活,动漫二次元型
304,女,18岁以下,动漫|学习|生活|宠物,动漫二次元型
305,男,18-24岁,宠物|动漫|生活|学习,动漫二次元型
306,女,25-30岁,运动|音乐|美食,运动乐活型
307,男,31-40岁,宠物|动漫,动漫二次元型
308,女,31-40岁,运动|音乐|游戏|美食,运动乐活型
309,女,40岁以上,科技|学习,进步青年型
310,女,18-24岁,游戏|搞笑|动漫,宅文化型
311,男,25-30岁,美食|生活|科技|运动,生活家型
312,女,18-24岁,科技|学习|搞笑|宠物,进步青年型
313,男,18岁以下,学习|科技|搞笑|宠物,进步青年型
314,女,18岁以下,科技|学习,进步青年型
315,女,25-30岁,生活|运动|科技|美食,生活家型
316,女,18-24岁,搞笑|游戏,宅文化型
317,男,18岁以下,动漫|学习|宠物,动漫二次元型
318,男,18岁以下,动漫|宠物|生活,动漫二次元型
319,男,40岁以上,美食|生活|科技|运动,生活家型
320,男,31-40岁,科技|学习,进步青年型
321,男,31-40岁,运动|音乐,运动乐活型
322,女,18-24岁,生活|美食,生活家型
323,女,31-40岁,生活|运动|科技|美食,生活家型
324,女,31-40岁,运动|音乐,运动乐活型
325,女,31-40岁,运动|音乐|美食,运动乐活型
326,男,18岁以下,动漫|宠物,动漫二次元型
327,女,18-24岁,运动|游戏|音乐,运动乐活型
328,女,40岁以上,美食|生活,生活家型
329,男,31-40岁,生活|科技|运动,生活家型
330,男,18岁以下,动漫|学习|宠物,动漫二次元型
331,男,25-30岁,宠物|动漫|学习,动漫二次元型
332,女,31-40岁,搞笑|游戏,宅文化型
333,男,18-24岁,运动|美食|游戏,运动乐活型
334,女,18-24岁,运动|音乐|游戏,运动乐活型
335,男,18岁以下,音乐|运动|美食|游戏,运动乐活型
336,男,18-24岁,宠物|动漫|学习,动漫二次元型
337,男,40岁以上,搞笑|游戏|动漫|音乐,宅文化型
338,男,25-30岁,运动|美食,运动乐活型
339,男,25-30岁,科技|宠物|学习,进步青年型
340,女,18-24岁,搞笑|游戏|音乐|动漫,宅文化型
341,男,40岁以上,音乐|运动|美食,运动乐活型
342,女,18岁以下,宠物|生活|学习,动漫二次元型
343,女,18-24岁,美食|生活,生活家型
344,男,18岁以下,学习|科技|搞笑,进步青年型
345,女,18-24岁,宠物|学习,动漫二次元型
346,男,25-30岁,音乐|游戏|美食,运动乐活型
347,女,25-30岁,运动|美食|游戏,运动乐活型
348,女,18岁以下,运动|游戏,运动乐活型
349,女,18岁以下,生活|美食|科技,生活家型
350,女,18-24岁,搞笑|游戏|动漫|音乐,宅文化型
351,男,40岁以上,科技|搞笑,进步青年型
352,男,18岁以下,游戏|搞笑,宅文化型
353,男,18岁以下,生活|美食,生活家型
354,男,18-24岁,宠物|生活,动漫二次元型
355,女,18岁以下,音乐|运动|美食|游戏,运动乐活型
356,男,18-24岁,学习|宠物,进步青年型
357,男,31-40岁,美食|运动|科技,生活家型
358,女,18岁以下,生活|美食|运动|科技,生活家型
359,女,18岁以下,动漫|宠物|生活|学习,动漫二次元型
360,男,18岁以下,动漫|宠物|生活|学习,动漫二次元型
361,女,25-30岁,搞笑|动漫|游戏|音乐,宅文化型
362,男,25-30岁,学习|科技|搞笑,进步青年型
363,女,18-24岁,游戏|搞笑|动漫|音乐,宅文化型
364,女,18-24岁,学习|宠物|科技|搞笑,进步青年型
365,男,18-24岁,生活|美食|运动,生活家型
366,男,40岁以上,游戏|搞笑|音乐,宅文化型
367,女,25-30岁,动漫|宠物|学习,动漫二次元型
368,女,40岁以上,科技|宠物|学习|搞笑,进步青年型
369,男,40岁以上,音乐|运动|游戏|美食,运动乐活型
370,女,18-24岁,音乐|运动|游戏|美食,运动乐活型
371,女,18岁以下,生活|运动|美食,生活家型
372,男,25-30岁,搞笑|游戏|动漫,宅文化型
373,男,18岁以下,游戏|动漫,宅文化型
374,女,18岁以下,动漫|生活|学习|宠物,动漫二次元型
375,男,18-24岁,宠物|生活|学习,动漫二次元型
376,男,18岁以下,生活|美食|科技,生活家型
377,女,18-24岁,游戏|搞笑,宅文化型
378,男,18岁以下,学习|科技,进步青年型
379,男,18岁以下,学习|科技|宠物|搞笑,进步青年型
380,女,18-24岁,宠物|动漫|生活,动漫二次元型
381,女,40岁以上,宠物|动漫,动漫二次元型
382,男,40岁以上,动漫|学习,动漫二次元型
383,女,25-30岁,科技|搞笑|宠物|学习,进步青年型
384,女,40岁以上,学习|科技|搞笑|宠物,进步青年型
385,女,18-24岁,搞笑|游戏,宅文化型
386,男,40岁以上,动漫|学习|宠物,动漫二次元型
387,女,25-30岁,学习|科技|搞笑,进步青年型
388,女,40岁以上,音乐|运动,运动乐活型
389,男,25-30岁,运动|音乐,运动乐活型
390,女,40岁以上,科技|搞笑|宠物|学习,进步青年型
391,女,18-24岁,美食|运动,生活家型
392,男,18岁以下,音乐|运动,运动乐活型
393,男,31-40岁,宠物|动漫|学习|生活,动漫二次元型
394,女,31-40岁,音乐|运动|游戏,运动乐活型
395,男,40岁以上,学习|科技,进步青年型
396,男,25-30岁,美食|科技,生活家型
397,男,31-40岁,美食|生活|科技,生活家型
398,男,40岁以上,搞笑|游戏|音乐|动漫,宅文化型
399,男,40岁以上,音乐|美食|游戏|运动,运动乐活型
400,女,25-30岁,运动|美食|游戏|音乐,运动乐活型
401,女,25-30岁,运动|音乐|美食,运动乐活型
402,女,31-40岁,生活|科技|美食,生活家型
403,女,31-40岁,运动|音乐,运动乐活型
404,男,31-40岁,动漫|宠物|学习|生活,动漫二次元型
405,男,31-40岁,学习|科技|宠物|搞笑,进步青年型
406,女,25-30岁,美食|生活,生活家型
407,男,25-30岁,宠物|生活,动漫二次元型
408,女,40岁以上,宠物|动漫|生活,动漫二次元型
409,男,18-24岁,音乐|游戏|运动|美食,运动乐活型
410,男,18岁以下,学习|宠物,进步青年型
411,女,25-30岁,学习|宠物|科技|搞笑,进步青年型
412,女,40岁以上,生活|美食|运动|科技,生活家型
413,女,31-40岁,搞笑|音乐,宅文化型
414,女,18岁以下,运动|游戏,运动乐活型
415,女,31-40岁,科技|学习|宠物,进步青年型
416,女,18岁以下,运动|音乐,运动乐活型
417,女,18岁以下,动漫|宠物|生活|学习,动漫二次元型
418,男,18岁以下,搞笑|游戏,宅文化型
419,男,18岁以下,游戏|搞笑|音乐,宅文化型
420,女,31-40岁,搞笑|游戏,宅文化型
421,男,31-40岁,科技|搞笑,进步青年型
422,女,40岁以上,美食|生活|科技,生活家型
423,男,18-24岁,生活|美食|科技,生活家型
424,男,25-30岁,动漫|生活|学习|宠物,动漫二次元型
425,男,18-24岁,游戏|音乐,宅文化型
426,女,18岁以下,宠物|学习,动漫二次元型
427,男,18岁以下,游戏|搞笑|音乐,宅文化型
428,女,40岁以上,音乐|运动,运动乐活型
429,女,40岁以上,宠物|学习,动漫二次元型
430,女,18岁以下,动漫|宠物|生活|学习,动漫二次元型
431,男,25-30岁,运动|美食|音乐,运动乐活型
432,男,40岁以上,学习|搞笑,进步青年型
433,男,18岁以下,游戏|搞笑,宅文化型
434,男,31-40岁,运动|音乐,运动乐活型
435,男,40岁以上,生活|美食|科技,生活家型
436,男,31-40岁,动漫|宠物|学习,动漫二次元型
437,女,31-40岁,运动|音乐|游戏|美食,运动乐活型
438,女,31-40岁,美食|生活|科技|运动,生活家型
439,女,18-24岁,动漫|宠物|生活|学习,动漫二次元型
440,女,18岁以下,科技|搞笑|宠物,进步青年型
441,女,31-40岁,搞笑|游戏|动漫,宅文化型
442,女,25-30岁,美食|生活|运动|科技,生活家型
443,男,18-24岁,学习|宠物,进步青年型
444,男,25-30岁,搞笑|动漫,宅文化型
445,男,18岁以下,音乐|美食|游戏|运动,运动乐活型
446,女,25-30岁,运动|音乐|美食|游戏,运动乐活型
447,男,18岁以下,游戏|搞笑|动漫,宅文化型
448,男,31-40岁,运动|游戏|音乐|美食,运动乐活型
449,男,18岁以下,美食|生活|科技,生活家型
450,男,25-30岁,宠物|生活|学习,动漫二次元型
451,男,25-30岁,宠物|动漫,动漫二次元型
452,男,18-24岁,学习|搞笑,进步青年型
453,女,31-40岁,游戏|搞笑|动漫|音乐,宅文化型
454,男,18岁以下,科技|学习,进步青年型
455,男,40岁以上,科技|学习|搞笑|宠物,进步青年型
456,男,31-40岁,科技|学习|搞笑|宠物,进步青年型
457,女,40岁以上,科技|宠物|学习|搞笑,进步青年型
458,男,40岁以上,运动|音乐,运动乐活型
459,女,25-30岁,运动|音乐|游戏,运动乐活型
460,男,18岁以下,学习|宠物|科技|搞笑,进步青年型
461,男,18岁以下,音乐|运动|美食|游戏,运动乐活型
462,女,31-40岁,运动|音乐|游戏,运动乐活型
463,男,31-40岁,生活|美食|科技,生活家型
464,女,18岁以下,搞笑|游戏|音乐,宅文化型
465,男,18岁以下,宠物|动漫|学习|生活,动漫二次元型
466,男,25-30岁,游戏|搞笑|音乐|动漫,宅文化型
467,女,31-40岁,运动|音乐|美食|游戏,运动乐活型
468,男,18岁以下,生活|美食|科技,生活家型
469,女,18-24岁,运动|音乐|美食,运动乐活型
470,男,40岁以上,宠物|动漫,动漫二次元型
471,男,18-24岁,生活|美食,生活家型
472,男,18-24岁,美食|生活|科技|运动,生活家型
473,男,18岁以下,游戏|音乐|动漫,宅文化型
474,女,18-24岁,搞笑|音乐|游戏|动漫,宅文化型
475,男,31-40岁,科技|学习|宠物,进步青年型
476,男,25-30岁,学习|科技|搞笑|宠物,进步青年型
477,女,18-24岁,动漫|宠物|学习|生活,动漫二次元型
478,女,18-24岁,音乐|运动|游戏|美食,运动乐活型
479,男,18-24岁,学习|科技,进步青年型
480,男,18岁以下,动漫|宠物|生活,动漫二次元型
481,女,25-30岁,音乐|美食|运动|游戏,运动乐活型
482,女,25-30岁,游戏|动漫,宅文化型
483,男,18岁以下,游戏|搞笑,宅文化型
484,女,18岁以下,搞笑|游戏,宅文化型
485,男,18-24岁,音乐|运动|游戏|美食,运动乐活型
486,男,31-40岁,美食|生活|科技,生活家型
487,男,31-40岁,宠物|动漫|生活,动漫二次元型
488,男,18-24岁,运动|音乐|游戏,运动乐活型
489,女,18-24岁,科技|学习,进步青年型
490,男,40岁以上,美食|生活|运动,生活家型
491,男,31-40岁,运动|游戏|音乐,运动乐活型
492,女,31-40岁,生活|美食,生活家型
493,女,31-40岁,搞笑|游戏,宅文化型
494,女,18-24岁,科技|学习|宠物|搞笑,进步青年型
495,男,18岁以下,动漫|学习|生活,动漫二次元型
496,男,31-40岁,学习|宠物,进步青年型
497,女,25-30岁,运动|音乐,运动乐活型
498,男,18-24岁,美食|生活|科技,生活家型
499,男,18岁以下,美食|生活|运动,生活家型
500,男,18岁以下,动漫|宠物|生活,动漫二次元型
501,男,40岁以上,搞笑|游戏,宅文化型
502,女,18岁以下,科技|学习|宠物,进步青年型
503,男,25-30岁,运动|美食,运动乐活型
504,男,25-30岁,搞笑|游戏|动漫|音乐,宅文化型
505,女,31-40岁,生活|美食,生活家型
506,女,25-30岁,宠物|动漫,动漫二次元型
507,女,25-30岁,音乐|美食|运动|游戏,运动乐活型
508,女,18岁以下,美食|生活|运动|科技,生活家型
509,女,25-30岁,生活|美食,生活家型
510,女,40岁以上,宠物|动漫|学习|生活,动漫二次元型
511,男,31-40岁,搞笑|游戏,宅文化型
512,男,18-24岁,音乐|美食|运动,运动乐活型
513,男,18-24岁,音乐|运动|游戏,运动乐活型
